sys_id,opened_at,closed_at,category,priority,assignment_group,short_description,description
SR10000,2026-03-04 07:08:00,2026-03-04 11:15:58,Network,3 - Moderate,Network Support,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10001,2026-04-19 01:01:00,2026-04-19 04:23:07,Network,2 - High,Network Support,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10002,2026-05-10 19:01:00,2026-05-10 21:04:14,Network,2 - High,Network Support,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10003,2026-04-18 07:28:00,2026-04-20 01:38:09,HR,3 - Moderate,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10004,2026-02-10 22:27:00,2026-02-11 01:58:17,HR,1 - Critical,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10005,2026-02-25 10:06:00,2026-02-25 11:38:30,Software,2 - High,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10006,2026-04-02 11:38:00,2026-04-02 12:56:21,Network,3 - Moderate,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10007,2026-05-18 03:59:00,2026-05-18 10:25:39,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10008,2026-03-17 20:39:00,2026-03-17 22:55:17,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10009,2026-01-12 21:14:00,2026-01-13 04:01:35,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10010,2026-01-26 12:17:00,2026-01-26 17:35:24,Software,3 - Moderate,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
